observation_id,indicator_id,indicator_name,category,subcategory,country_iso3,country_name,comparison_group,period_type,year,period_start,period_end,period_label,value_raw,value_numeric,unit,unit_standardized,value_standardized,standardization_note,indicator_type,source_id,source_name,source_url,source_file_path,source_publication_date,retrieved_at,confidence_tier,uncertainty_note,is_canonical,canonical_selection_reason,source_priority,dedupe_key,normalization_method,notes
obs_0bbdb5da2b8485,ai_concern_more_than_excited_pct,Share more concerned than excited about AI,Social Readiness,social_readiness,KOR,South Korea,KOR/USA/CHN,annual,2025,2025-01-01,2025-12-31,2025,16.0,16.0,percent,percent,16.0,Percent value preserved.,survey_metric,pew_ai_views,How People Around the World View AI,https://www.pewresearch.org/global/2025/10/15/how-people-around-the-world-view-ai/,,,2026-05-03T04:50:10+00:00,medium_high,Survey margin of error.,True,Only observation for indicator/country/period/unit.,9,ai_concern_more_than_excited_pct|KOR|2025-01-01|2025-12-31|percent,mapped_to_master_schema,Share mainly concerned about AI in Pew report text.
obs_646ea8a3f2fa92,ai_patents_per_capita,AI patents per capita,"Models, Research, and Funding",research,CHN,China,KOR/USA/CHN,annual,2024,2024-01-01,2024-12-31,2024,6.954559165350699,6.954559165350699,patents per capita,patents_per_100000_inhabitants,6.954559165350699,Numeric value parsed; no unit conversion applied.,index_metric,stanford_ai_index,AI Index Report Data,https://hai.stanford.edu/ai-index,,,2026-05-03T04:50:18+00:00,medium_high,Use source methodology.,True,Only observation for indicator/country/period/unit.,5,ai_patents_per_capita|CHN|2024-01-01|2024-12-31|patents_per_100000_inhabitants,mapped_to_master_schema,Stanford AI Index local figure fig_1.7.4.csv.
obs_35da514f232cf2,ai_patents_per_capita,AI patents per capita,"Models, Research, and Funding",research,KOR,South Korea,KOR/USA/CHN,annual,2024,2024-01-01,2024-12-31,2024,14.310816598653574,14.310816598653574,patents per capita,patents_per_100000_inhabitants,14.310816598653574,Numeric value parsed; no unit conversion applied.,index_metric,stanford_ai_index,AI Index Report Data,https://hai.stanford.edu/ai-index,,,2026-05-03T04:50:18+00:00,medium_high,Use source methodology.,True,Only observation for indicator/country/period/unit.,5,ai_patents_per_capita|KOR|2024-01-01|2024-12-31|patents_per_100000_inhabitants,mapped_to_master_schema,Stanford AI Index local figure fig_1.7.4.csv.
obs_bc0a234f441189,ai_patents_per_capita,AI patents per capita,"Models, Research, and Funding",research,USA,United States,KOR/USA/CHN,annual,2024,2024-01-01,2024-12-31,2024,4.680824954705668,4.680824954705668,patents per capita,patents_per_100000_inhabitants,4.680824954705668,Numeric value parsed; no unit conversion applied.,index_metric,stanford_ai_index,AI Index Report Data,https://hai.stanford.edu/ai-index,,,2026-05-03T04:50:18+00:00,medium_high,Use source methodology.,True,Only observation for indicator/country/period/unit.,5,ai_patents_per_capita|USA|2024-01-01|2024-12-31|patents_per_100000_inhabitants,mapped_to_master_schema,Stanford AI Index local figure fig_1.7.4.csv.
obs_04db4cce6c7fbd,ai_research_publications_count,AI-related publications by country,"Models, Research, and Funding",research,CHN,China,KOR/USA/CHN,annual,2020,2020-01-01,2020-12-31,2020,135312.0,135312.0,count,count,135312.0,Numeric value parsed; no unit conversion applied.,observed_metric,openalex,OpenAlex Works API,"https://api.openalex.org/works?filter=from_publication_date:2020-01-01,to_publication_date:2020-12-31,authorships.institutions.country_code:CN,concepts.id:C154945302&per-page=1",,,2026-05-03T04:50:15+00:00,medium_high,Depends on AI topic/keyword filter.,True,Only observation for indicator/country/period/unit.,4,ai_research_publications_count|CHN|2020-01-01|2020-12-31|count,mapped_to_master_schema,OpenAlex first-pass count using concept C154945302 and authorship institution country filter.
obs_ae422a46442a03,ai_research_publications_count,AI-related publications by country,"Models, Research, and Funding",research,CHN,China,KOR/USA/CHN,annual,2021,2021-01-01,2021-12-31,2021,163571.0,163571.0,count,count,163571.0,Numeric value parsed; no unit conversion applied.,observed_metric,openalex,OpenAlex Works API,"https://api.openalex.org/works?filter=from_publication_date:2021-01-01,to_publication_date:2021-12-31,authorships.institutions.country_code:CN,concepts.id:C154945302&per-page=1",,,2026-05-03T04:50:15+00:00,medium_high,Depends on AI topic/keyword filter.,True,Only observation for indicator/country/period/unit.,4,ai_research_publications_count|CHN|2021-01-01|2021-12-31|count,mapped_to_master_schema,OpenAlex first-pass count using concept C154945302 and authorship institution country filter.
obs_4a50e361ad3dc3,ai_research_publications_count,AI-related publications by country,"Models, Research, and Funding",research,CHN,China,KOR/USA/CHN,annual,2022,2022-01-01,2022-12-31,2022,192531.0,192531.0,count,count,192531.0,Numeric value parsed; no unit conversion applied.,observed_metric,openalex,OpenAlex Works API,"https://api.openalex.org/works?filter=from_publication_date:2022-01-01,to_publication_date:2022-12-31,authorships.institutions.country_code:CN,concepts.id:C154945302&per-page=1",,,2026-05-03T04:50:15+00:00,medium_high,Depends on AI topic/keyword filter.,True,Only observation for indicator/country/period/unit.,4,ai_research_publications_count|CHN|2022-01-01|2022-12-31|count,mapped_to_master_schema,OpenAlex first-pass count using concept C154945302 and authorship institution country filter.
obs_f6747451b704e2,ai_research_publications_count,AI-related publications by country,"Models, Research, and Funding",research,CHN,China,KOR/USA/CHN,annual,2023,2023-01-01,2023-12-31,2023,225600.0,225600.0,count,count,225600.0,Numeric value parsed; no unit conversion applied.,observed_metric,openalex,OpenAlex Works API,"https://api.openalex.org/works?filter=from_publication_date:2023-01-01,to_publication_date:2023-12-31,authorships.institutions.country_code:CN,concepts.id:C154945302&per-page=1",,,2026-05-03T04:50:16+00:00,medium_high,Depends on AI topic/keyword filter.,True,Only observation for indicator/country/period/unit.,4,ai_research_publications_count|CHN|2023-01-01|2023-12-31|count,mapped_to_master_schema,OpenAlex first-pass count using concept C154945302 and authorship institution country filter.
obs_4b49257af9a2f3,ai_research_publications_count,AI-related publications by country,"Models, Research, and Funding",research,CHN,China,KOR/USA/CHN,annual,2024,2024-01-01,2024-12-31,2024,235220.0,235220.0,count,count,235220.0,Numeric value parsed; no unit conversion applied.,observed_metric,openalex,OpenAlex Works API,"https://api.openalex.org/works?filter=from_publication_date:2024-01-01,to_publication_date:2024-12-31,authorships.institutions.country_code:CN,concepts.id:C154945302&per-page=1",,,2026-05-03T04:50:16+00:00,medium_high,Depends on AI topic/keyword filter.,True,Only observation for indicator/country/period/unit.,4,ai_research_publications_count|CHN|2024-01-01|2024-12-31|count,mapped_to_master_schema,OpenAlex first-pass count using concept C154945302 and authorship institution country filter.
obs_aeb64f9cae48ad,ai_research_publications_count,AI-related publications by country,"Models, Research, and Funding",research,CHN,China,KOR/USA/CHN,annual,2025,2025-01-01,2025-12-31,2025,248691.0,248691.0,count,count,248691.0,Numeric value parsed; no unit conversion applied.,observed_metric,openalex,OpenAlex Works API,"https://api.openalex.org/works?filter=from_publication_date:2025-01-01,to_publication_date:2025-12-31,authorships.institutions.country_code:CN,concepts.id:C154945302&per-page=1",,,2026-05-03T04:50:16+00:00,medium_high,Depends on AI topic/keyword filter.,True,Only observation for indicator/country/period/unit.,4,ai_research_publications_count|CHN|2025-01-01|2025-12-31|count,mapped_to_master_schema,OpenAlex first-pass count using concept C154945302 and authorship institution country filter.
