item_id,issue_type,indicator_id,country_iso3,year,source_id,source_file_path,value_raw,value_numeric,unit,reason_for_review,recommended_action,status,reviewer_note
mr_038f0dc665ae,missing_value,national_gpu_target_2026,,,msit_2026_work_plan,,,,,Download failed or returned status None.,Review source file or source URL and map into master schema if usable.,open,
mr_62da54b65c36,missing_value,k_ai_foundation_model_team_count,,,msit_2026_work_plan,,,,,Download failed or returned status None.,Review source file or source URL and map into master schema if usable.,open,
mr_d0fda47869d4,missing_value,k_ai_consortium_actor_type_share,,,msit_2026_work_plan,,,,,Download failed or returned status None.,Review source file or source URL and map into master schema if usable.,open,
mr_df2f1a7ae8cd,missing_value,ai_budget_2026_krw,,,msit_2026_work_plan,,,,,Download failed or returned status None.,Review source file or source URL and map into master schema if usable.,open,
mr_64e5d00b4044,missing_value,public_sector_ai_program_count,,,msit_2026_work_plan,,,,,Download failed or returned status None.,Review source file or source URL and map into master schema if usable.,open,
mr_987a33d8ac41,missing_value,domestic_ai_chip_unicorn_count,,,mss_venture,,,,,Download failed or returned status None.,Review source file or source URL and map into master schema if usable.,open,
mr_97cc85f76d96,missing_value,total_venture_investment_krw,,,mss_venture,,,,,Download failed or returned status None.,Review source file or source URL and map into master schema if usable.,open,
mr_6a145d8e502f,missing_value,new_industry_venture_investment_krw,,,mss_venture,,,,,Download failed or returned status None.,Review source file or source URL and map into master schema if usable.,open,
mr_234e8384d2d0,missing_value,ai_models_infrastructure_investment_krw,,,mss_venture,,,,,Download failed or returned status None.,Review source file or source URL and map into master schema if usable.,open,
mr_50f4f04e7a0e,missing_value,ai_unicorn_count,,,mss_venture,,,,,Download failed or returned status None.,Review source file or source URL and map into master schema if usable.,open,
mr_172bd57f1d22,unclear_indicator_mapping,ai_awareness_pct,,,pew_ai_views,,,,,Awareness values likely require Pew topline/survey data extraction.,Review source file or source URL and map into master schema if usable.,open,
mr_43df0091b26c,unclear_indicator_mapping,h100e_compute_capacity_owned,,,epoch_ai_chip_owners,,,,,"ZIP downloaded and extracted, but owner-to-country/H100e mapping needs manual review before observation creation.",Review source file or source URL and map into master schema if usable.,open,
mr_1daac7a4c3ce,unclear_indicator_mapping,ai_research_citations_count,,,openalex,,,,,Citations require a broader paginated aggregation; v0.1 collects publication counts only.,Review source file or source URL and map into master schema if usable.,open,
mr_f36848f58076,unclear_indicator_mapping,ai_author_count_proxy,,,openalex,,,,,Author-count proxy requires author deduplication; not collected in v0.1.,Review source file or source URL and map into master schema if usable.,open,
mr_2c50aa2cde00,unclear_indicator_mapping,private_ai_investment_usd,,,stanford_ai_index,,,,,Local annual private-investment figure does not include South Korea rows; Korea value needs source review.,Review source file or source URL and map into master schema if usable.,open,
mr_eb7b6f12bc7d,unclear_indicator_mapping,newly_funded_ai_companies_count,,,stanford_ai_index,,,,,Local annual newly-funded-companies figure does not include South Korea rows; Korea value needs source review.,Review source file or source URL and map into master schema if usable.,open,
mr_b29ea60f2239,unclear_indicator_mapping,semiconductor_exports_usd,,,un_comtrade,,,,,UN Comtrade API did not return a simple parseable response for HS 8542 in v0.1.,Review source file or source URL and map into master schema if usable.,open,
mr_8132c537681b,unclear_indicator_mapping,semiconductor_exports_to_china_share,,,un_comtrade,,,,,UN Comtrade API did not return a simple parseable response for HS 8542 in v0.1.,Review source file or source URL and map into master schema if usable.,open,
