ai_concept,Country/territory,Country/territory_label,impact_level,pub_type,publications,year
All AI research,CHN,China (People's Republic of),All works,All publication types,5.06296239784711,2000
All AI research,CHN,China (People's Republic of),All works,All publication types,6.529995730458041,2001
All AI research,CHN,China (People's Republic of),All works,All publication types,6.710933152005132,2002
All AI research,CHN,China (People's Republic of),All works,All publication types,9.42559435831158,2003
All AI research,CHN,China (People's Republic of),All works,All publication types,15.306596655755191,2004
All AI research,CHN,China (People's Republic of),All works,All publication types,18.059792112522246,2005
All AI research,CHN,China (People's Republic of),All works,All publication types,22.57939646766177,2006
All AI research,CHN,China (People's Republic of),All works,All publication types,25.06843126444129,2007
All AI research,CHN,China (People's Republic of),All works,All publication types,27.331868307999805,2008
All AI research,CHN,China (People's Republic of),All works,All publication types,28.133628808746625,2009
All AI research,CHN,China (People's Republic of),All works,All publication types,27.885223723642717,2010
All AI research,CHN,China (People's Republic of),All works,All publication types,25.335134565519567,2011
All AI research,CHN,China (People's Republic of),All works,All publication types,22.087369929568638,2012
All AI research,CHN,China (People's Republic of),All works,All publication types,20.82276872345882,2013
All AI research,CHN,China (People's Republic of),All works,All publication types,19.17779001169197,2014
All AI research,CHN,China (People's Republic of),All works,All publication types,17.21357316709819,2015
All AI research,CHN,China (People's Republic of),All works,All publication types,15.816977557276758,2016
All AI research,CHN,China (People's Republic of),All works,All publication types,16.737961302968575,2017
All AI research,CHN,China (People's Republic of),All works,All publication types,19.350310525983147,2018
All AI research,CHN,China (People's Republic of),All works,All publication types,21.10422821167963,2019
All AI research,CHN,China (People's Republic of),All works,All publication types,21.681773326012724,2020
All AI research,CHN,China (People's Republic of),All works,All publication types,24.34944144084157,2021
All AI research,CHN,China (People's Republic of),All works,All publication types,28.59642604585999,2022
All AI research,CHN,China (People's Republic of),All works,All publication types,28.844263590762097,2023
All AI research,CHN,China (People's Republic of),All works,All publication types,30.697636578555326,2024
All AI research,CHN,China (People's Republic of),All works,All publication types,18.014530281094395,2025
All AI research,CHN,China (People's Republic of),All works,All publication types,32.43123821700347,2026
All AI research,USA,United States,All works,All publication types,27.152679453090627,2000
All AI research,USA,United States,All works,All publication types,26.117315098076233,2001
All AI research,USA,United States,All works,All publication types,30.168505851946943,2002
All AI research,USA,United States,All works,All publication types,28.740940127804908,2003
All AI research,USA,United States,All works,All publication types,21.951769300103244,2004
All AI research,USA,United States,All works,All publication types,22.76534235660078,2005
All AI research,USA,United States,All works,All publication types,18.50846570915007,2006
All AI research,USA,United States,All works,All publication types,17.66237049126295,2007
All AI research,USA,United States,All works,All publication types,15.464149518948968,2008
All AI research,USA,United States,All works,All publication types,15.732329671895878,2009
All AI research,USA,United States,All works,All publication types,15.031563543065166,2010
All AI research,USA,United States,All works,All publication types,15.572723729692674,2011
All AI research,USA,United States,All works,All publication types,15.032907305646413,2012
All AI research,USA,United States,All works,All publication types,14.874673873121575,2013
All AI research,USA,United States,All works,All publication types,14.435510974671972,2014
All AI research,USA,United States,All works,All publication types,15.327672180176142,2015
All AI research,USA,United States,All works,All publication types,15.526378091130596,2016
All AI research,USA,United States,All works,All publication types,16.063103083519604,2017
All AI research,USA,United States,All works,All publication types,16.95039817406737,2018
All AI research,USA,United States,All works,All publication types,17.437962299442567,2019
All AI research,USA,United States,All works,All publication types,17.726133289224784,2020
All AI research,USA,United States,All works,All publication types,16.195206048931038,2021
All AI research,USA,United States,All works,All publication types,12.535040451899405,2022
All AI research,USA,United States,All works,All publication types,12.181553678359696,2023
All AI research,USA,United States,All works,All publication types,11.340336880882885,2024
All AI research,USA,United States,All works,All publication types,9.508883595002045,2025
All AI research,USA,United States,All works,All publication types,11.000233781422423,2026
All AI research,KOR,Korea,All works,All publication types,1.8364027655551047,2000
All AI research,KOR,Korea,All works,All publication types,1.7489087833713994,2001
All AI research,KOR,Korea,All works,All publication types,2.152236950895924,2002
All AI research,KOR,Korea,All works,All publication types,2.0647269540779876,2003
All AI research,KOR,Korea,All works,All publication types,2.3000120424184547,2004
All AI research,KOR,Korea,All works,All publication types,2.3538996123595677,2005
All AI research,KOR,Korea,All works,All publication types,2.2879637250952216,2006
All AI research,KOR,Korea,All works,All publication types,2.08436871353256,2007
All AI research,KOR,Korea,All works,All publication types,1.8049694448196736,2008
All AI research,KOR,Korea,All works,All publication types,1.8499260279456244,2009
All AI research,KOR,Korea,All works,All publication types,1.6405452573996948,2010
All AI research,KOR,Korea,All works,All publication types,1.7155859581013873,2011
All AI research,KOR,Korea,All works,All publication types,1.7683356345390462,2012
All AI research,KOR,Korea,All works,All publication types,1.9415510226288626,2013
All AI research,KOR,Korea,All works,All publication types,1.8900780578354488,2014
All AI research,KOR,Korea,All works,All publication types,1.7542163113469764,2015
All AI research,KOR,Korea,All works,All publication types,1.7313769299643953,2016
All AI research,KOR,Korea,All works,All publication types,1.8059127432521176,2017
All AI research,KOR,Korea,All works,All publication types,1.9063144748065268,2018
All AI research,KOR,Korea,All works,All publication types,2.0205173636534175,2019
All AI research,KOR,Korea,All works,All publication types,2.2156517276127667,2020
All AI research,KOR,Korea,All works,All publication types,2.211554581370995,2021
All AI research,KOR,Korea,All works,All publication types,2.1413834893756425,2022
All AI research,KOR,Korea,All works,All publication types,2.2204099595874407,2023
All AI research,KOR,Korea,All works,All publication types,2.1367371023140516,2024
All AI research,KOR,Korea,All works,All publication types,1.3602780163476407,2025
All AI research,KOR,Korea,All works,All publication types,1.8205341676921392,2026
