dashboard_category,indicator,metric,geography,period,dimension_values,value_raw,value_readable,value_unit,rank_descending_within_source,source_country_count,source_chapter,source_figure,source_csv,source_chart_pdf,relevance_note,original_fields_json
Compute and data centers,"Global distribution of data centers, 2025",num_datacenters,South Korea,,"{""iso_code"": ""KOR""}",43,43,count,32,97,1. Research and Development,fig_1.3.1,1. Research and Development\Data\fig_1.3.1.csv,1. Research and Development\Charts\fig_1.3.1.pdf,Korea-specific infrastructure or data-center indicator for compute capacity context.,"{""Country"": ""South Korea"", ""iso_code"": ""KOR"", ""num_datacenters"": ""43""}"
Compute and data centers,"Countries with publicly announced Nvidia or OpenAI infrastructure initiatives, 2025",has_nvidia,South Korea,,{},Yes,Yes,count,,,8. Policy and Governance,fig_8.3.2,8. Policy and Governance\Data\fig_8.3.2.csv,8. Policy and Governance\Charts\fig_8.3.2.pdf,Korea-specific infrastructure or data-center indicator for compute capacity context.,"{""country"": ""South Korea"", ""has_nvidia"": ""Yes"", ""has_openai"": ""Yes"", ""initiative_type"": ""Nvidia and OpenAI""}"
Compute and data centers,"Countries with publicly announced Nvidia or OpenAI infrastructure initiatives, 2025",has_openai,South Korea,,{},Yes,Yes,count,,,8. Policy and Governance,fig_8.3.2,8. Policy and Governance\Data\fig_8.3.2.csv,8. Policy and Governance\Charts\fig_8.3.2.pdf,Korea-specific infrastructure or data-center indicator for compute capacity context.,"{""country"": ""South Korea"", ""has_nvidia"": ""Yes"", ""has_openai"": ""Yes"", ""initiative_type"": ""Nvidia and OpenAI""}"
Compute and data centers,"Countries with publicly announced Nvidia or OpenAI infrastructure initiatives, 2025",initiative_type,South Korea,,{},Nvidia and OpenAI,Nvidia and OpenAI,count,,,8. Policy and Governance,fig_8.3.2,8. Policy and Governance\Data\fig_8.3.2.csv,8. Policy and Governance\Charts\fig_8.3.2.pdf,Korea-specific infrastructure or data-center indicator for compute capacity context.,"{""country"": ""South Korea"", ""has_nvidia"": ""Yes"", ""has_openai"": ""Yes"", ""initiative_type"": ""Nvidia and OpenAI""}"
"Funding, startups, and investment","Global private investment in AI by geographic area, 2013–25 (sum)",Total Investment (in Billions of U.S. Dollars),South Korea,,{},10.752440467,10.7524,US$ billions,9,15,4. Economy,fig_4.2.12,4. Economy\Data\fig_4.2.12.csv,4. Economy\Charts\fig_4.2.12.pdf,Korea-specific private AI investment or company funding indicator.,"{""Country"": ""South Korea"", ""Total Investment (in Billions of U.S. Dollars)"": ""10.752440467""}"
"Funding, startups, and investment","Number of newly funded AI companies by geographic area, 2013–25 (sum)",Number of Companies,South Korea,,{},329,329,count,10,15,4. Economy,fig_4.2.13,4. Economy\Data\fig_4.2.13.csv,4. Economy\Charts\fig_4.2.13.pdf,Korea-specific private AI investment or company funding indicator.,"{""Country"": ""South Korea"", ""Number of Companies"": ""329""}"
"Funding, startups, and investment","Global private investment in AI by geographic area, 2025",Total Investment (in Billions of U.S. Dollars),South Korea,,{},1.775383542,1.7754,US$ billions,12,15,4. Economy,fig_4.2.8,4. Economy\Data\fig_4.2.8.csv,4. Economy\Charts\fig_4.2.8.pdf,Korea-specific private AI investment or company funding indicator.,"{""Country"": ""South Korea"", ""Total Investment (in Billions of U.S. Dollars)"": ""1.775383542""}"
"Funding, startups, and investment","Private AI investment by focus area and country, 2025",Agriculture and environment,South Korea,,{},0,0,US$,34,75,8. Policy and Governance,fig_8.3.5,8. Policy and Governance\Data\fig_8.3.5.csv,8. Policy and Governance\Charts\fig_8.3.5.pdf,Korea-specific private AI investment or company funding indicator.,"{""Agriculture and environment"": ""0"", ""Business and enterprise services"": ""1727533616"", ""Consumer and lifestyle"": ""817381952"", ""Education"": ""154649908"", ""Financial services"": ""282156335"", ""General-purpose AI capabilities"": ""888859328"", ""Healthcare and life sciences"": ""10931964409"", ""Industry, energy and infrastructure"": ""282862141"", ""Legal services"": ""117400000"", ""Public sector and governance"": ""40536544"", ""Security and defense"": ""98943753"", ""country"": ""South Korea""}"
"Funding, startups, and investment","Private AI investment by focus area and country, 2025",Business and enterprise services,South Korea,,{},1727533616,"1,727,533,616",US$,12,75,8. Policy and Governance,fig_8.3.5,8. Policy and Governance\Data\fig_8.3.5.csv,8. Policy and Governance\Charts\fig_8.3.5.pdf,Korea-specific private AI investment or company funding indicator.,"{""Agriculture and environment"": ""0"", ""Business and enterprise services"": ""1727533616"", ""Consumer and lifestyle"": ""817381952"", ""Education"": ""154649908"", ""Financial services"": ""282156335"", ""General-purpose AI capabilities"": ""888859328"", ""Healthcare and life sciences"": ""10931964409"", ""Industry, energy and infrastructure"": ""282862141"", ""Legal services"": ""117400000"", ""Public sector and governance"": ""40536544"", ""Security and defense"": ""98943753"", ""country"": ""South Korea""}"
"Funding, startups, and investment","Private AI investment by focus area and country, 2025",Consumer and lifestyle,South Korea,,{},817381952,"817,381,952",US$,5,75,8. Policy and Governance,fig_8.3.5,8. Policy and Governance\Data\fig_8.3.5.csv,8. Policy and Governance\Charts\fig_8.3.5.pdf,Korea-specific private AI investment or company funding indicator.,"{""Agriculture and environment"": ""0"", ""Business and enterprise services"": ""1727533616"", ""Consumer and lifestyle"": ""817381952"", ""Education"": ""154649908"", ""Financial services"": ""282156335"", ""General-purpose AI capabilities"": ""888859328"", ""Healthcare and life sciences"": ""10931964409"", ""Industry, energy and infrastructure"": ""282862141"", ""Legal services"": ""117400000"", ""Public sector and governance"": ""40536544"", ""Security and defense"": ""98943753"", ""country"": ""South Korea""}"
